Timestep,Node_0
0,23430.487330000010843
1,22037.855040000005829
2,21713.792039999974804
3,21319.942370000011579
4,21324.017810000001191
5,21863.979550000010931
6,24401.970979999961855
7,28155.705100000013772
8,29860.70568000001731
9,31782.305919999973412
10,32543.406169999980193
11,32733.106069999979809
12,32896.206080000003567
13,32999.60613999999623
14,32884.506219999966561
15,32437.806039999981294
16,31584.005910000021686
17,32049.406000000064523
18,33100.206309999994119
19,33648.006440000004659
20,33865.606439999988652
21,33389.206290000009176
22,30677.10588999999527
23,27663.905410000017582
